name,id,type,area,description,area_km2,total_pop,pop_male,pop_female,age_under15,age_15_24,age_25_44,age_45_64,age_65plus,median_age,ethn_chinese,edu_degree,labour_force,domestic_households,oq_public,oq_private,aging_ratio,youth_ratio,dependency_ratio,degree_rate,public_housing_pct,n_green_spaces,total_green_area_m2,n_hospitals,n_ae_hospitals,n_pet_gardens,pop_density,total_green_area_km2,green_space_pct,green_area_per_capita,green_spaces_per_10k,hospitals_per_100k,pet_gardens_per_100k,dist_nearest_hospital_km,dist_nearest_ae_km,dist_nearest_green_km,dist_nearest_pet_km
Central and Western,cw,District,Hong Kong Island,"Including Kennedy Town, Shek Tong Tsui, Sai Ying Pun, Sheung Wan, Central, Admiralty, Mid-levels and The Peak",12.408061457018066,235953,98282,137671,24382,16779,77767,71534,45491,44.8,183502,89251,138216,88922,2867,84696,0.19279687056320538,0.10333413857844571,0.42071893063583815,0.3782575343394659,0.03274213994495392,370,6650949.255997432,2,0,2,19016.10503923993,6.650949255997433,53.60184005403696,28.187602005473263,15.681089030442504,0.8476264340779732,0.8476264340779732,1.0179716539985113,1.643228987439949,0.1024027205799052,1.449278419152782
Eastern,es,District,Hong Kong Island,"Including Fortress Hill, North Point, Braemar Hill, Quarry Bay, TaiKoo Shing, Sai Wan Ho, Shau Kei Wan, Chai Wan and Siu Sai Wan",18.91558680613085,529603,233542,296061,51517,36336,143911,174132,123707,49,481013,137565,281513,188706,37977,121886,0.23358440190104662,0.09727475108713508,0.4944536781242681,0.25975117210438764,0.23755966045926824,460,14971104.451557627,1,1,3,27998.232644220534,14.971104451557627,79.14692050000399,28.268541627516512,8.685751402465621,0.1888206826622961,0.5664620479868884,1.5595685503879748,1.5595685503879748,0.49012260882479636,1.8440326618276401
Wan Chai,wc,District,Hong Kong Island,"Including Causeway Bay, Happy Valley and Tin Hau",9.812890815233962,166695,67075,99620,16917,9907,53860,50632,35379,46,126271,63545,95914,63128,2514,60418,0.21223791955367588,0.10148474759290921,0.45713686308446755,0.38120519511683015,0.03994788025170025,370,13321719.152171275,3,1,1,16987.348900409183,13.321719152171275,135.7573359676035,79.9167290690859,22.19622664147095,1.7996940520111582,0.5998980173370527,0.883883091371252,1.1107669088309806,0.08153878093693127,1.3698515324157887
Southern,so,District,Hong Kong Island,"Including Aberdeen, Stanley and Shek O",42.45284777811726,263278,116239,147039,27255,18842,72397,87976,56808,48.1,226568,60709,141885,86479,25770,44060,0.21577192169493842,0.10352175267208047,0.4690622994727004,0.23058895919902156,0.3690390949448661,579,28901889.06002562,7,1,5,6201.656986029316,28.90188906002562,68.0799771338859,109.77707617053314,21.991962868146977,2.6587865298277866,1.8991332355912762,2.8163511015919434,4.772033751666165,0.12222086003753033,4.607863776504888
Islands,is,District,New Territories West,"Including Lantau Island, Lamma Island, Cheung Chau, Ping Chau and Po Toi Island",179.59171827766286,185282,84985,100297,23767,16808,58660,58751,27296,42.7,144717,43705,100892,67104,22572,39865,0.1473213803823361,0.12827473796699085,0.3804453914870473,0.23588368001208967,0.36151640853980815,1331,70137599.19854775,2,2,2,1031.6845441254675,70.13759919854775,39.05391622241151,378.54513227700346,71.83644390712536,1.079435671031185,1.079435671031185,4.448934654219535,4.448934654219535,0.5489161360812127,5.1119863177165685
Sai Kung,sk,District,New Territories East,"Including Tseung Kwan O, Clear Water Bay and Pak Tam Chung",143.5120447966706,489037,223094,265943,56329,39744,150700,164991,77273,44.7,442447,128362,277603,167771,29373,91119,0.15801053907986512,0.11518351372186562,0.3758830728543897,0.2624791171220174,0.24377552036649736,1275,100485975.53212027,2,1,2,3407.6373219604866,100.48597553212028,70.01919293567998,205.47724514120665,26.07164693060034,0.40896701067608376,0.40896701067608376,5.794941525072955,5.794941525072955,0.2723631683440423,4.483262607089005
Tai Po,tp,District,New Territories East,"Including Lam Tsuen, Tai Po Kau, Tai Mei Tuk and Sai Kung North",153.89845316130226,316470,146038,170432,34377,23198,97583,102810,58502,45.7,295002,67502,168898,110747,15494,66368,0.1848579644200082,0.1086264100862641,0.4153968630222147,0.21329667899010965,0.18926974664679583,4586,155644955.31461325,2,1,1,2056.355950948416,155.64495531461324,101.13484061563665,491.8158287187198,144.91105002053905,0.6319714348911429,0.31598571744557147,6.4395880798696155,6.658035906016682,1.0022753175769938,3.3363143240842796
North,no,District,New Territories East,"Including Sheung Shui, Fan Ling, Kwu Tung, Ta Kwu Ling and Sha Tau Kok",138.27797906558158,309631,145343,164288,33499,27654,88314,104607,55557,46.3,297915,48482,159707,111433,23839,52852,0.17942970826564525,0.10819007140757869,0.4037447580188145,0.1565799290122759,0.31084481881837506,3819,72244015.7255457,1,1,2,2239.1924013667444,72.24401572554571,52.24549578590695,233.32294158383917,123.34036320652648,0.322965077786139,0.645930155572278,6.093918314222593,6.388842838904115,0.4305155410483229,5.556502697104587
Yuen Long,yl,District,New Territories West,"Including Tin Shui Wai, Kam Tin, Lok Ma Chau and Hung Shui Kiu",138.38099353825274,668080,314056,354024,77199,58988,211376,220151,100366,43.7,622408,116916,359362,234338,66027,134744,0.15023051131601006,0.11555352652376961,0.36199708469669634,0.17500299365345467,0.3288672168789317,2724,77320787.43323132,2,2,2,4827.830635681354,77.32078743323133,55.875294327799075,115.73582120888415,40.7735600526883,0.2993653454676087,0.2993653454676087,1.0287311445271603,1.0287311445271603,0.35753373823901,2.947398969039872
Tuen Mun,tm,District,New Territories West,"Including Tai Lam Chung, Golden Coast, Lung Kwu Tan and Lam Tei",90.53641180899412,506879,240321,266558,54136,38535,152609,163644,97955,46.1,483173,79104,265678,187202,57932,85992,0.19325124931196597,0.10680260969580511,0.4286813533715909,0.15606091394593186,0.40251799560879353,1261,36031397.60000871,3,1,2,5598.6203768420755,36.03139760000871,39.79768678708477,71.08481037882554,24.877732160929924,0.5918572282536858,0.3945714855024572,1.4503958066768845,1.4503958066768845,0.1150868439221687,0.22221833907577096
Tsuen Wan,tw,District,New Territories West,"Including Lei Muk Shu, Sam Cheng, Ma Wan, Sunny Bay and Ching Lung Tau",61.6365788064796,320094,146412,173682,37873,24515,95270,104390,58046,45.4,297897,75736,172888,114009,22781,87710,0.1813404812336376,0.11831836897911238,0.427875543660087,0.23660549713521653,0.2061796888434352,912,63252479.9278903,1,1,1,5193.24735730384,63.2524799278903,102.62165933395515,197.6059530259558,28.49163058351609,0.3124082300824133,0.3124082300824133,3.168553133777391,3.168553133777391,0.27091201848146124,2.4652833168246158
