name,district,address,lat,lon
Morse Park Pet Garden,Wong Tai Sin,"Morse Park, Fung Mo Street, Wong Tai Sin",22.3425,114.1946
Lai Chi Kok Park Pet Garden,Sham Shui Po,"Lai Chi Kok Park, Lai Wan Road, Lai Chi Kok",22.3365,114.1488
Kowloon Tsai Park Pet Garden,Kowloon City,"Kowloon Tsai Park, Inverness Road, Kowloon Tong",22.3362,114.1759
Tuen Mun Park Pet Garden,Tuen Mun,"Tuen Mun Park, Tuen Mun",22.392,113.9765
Tai Po Waterfront Park Pet Garden,Tai Po,"Tai Po Waterfront Park, Tai Po",22.4458,114.1709
Quarry Bay Park Pet Garden,Eastern,"Quarry Bay Park, Quarry Bay",22.2876,114.2132
Victoria Park Pet Garden,Wan Chai,"Victoria Park, Causeway Bay",22.2825,114.1887
Kowloon Park Pet Garden,Yau Tsim Mong,"Kowloon Park, Tsim Sha Tsui",22.301,114.1702
Butterfly Estate Pet Garden,Tuen Mun,"Butterfly Estate, Tuen Mun",22.372,113.962
Sheung Shui Pet Garden,North,"North District Park, Sheung Shui",22.5024,114.1278
Fanling Pet Garden,North,"Fanling, North District",22.492,114.138
Sha Tin Park Pet Garden,Sha Tin,"Sha Tin Park, Sha Tin",22.3813,114.1895
Tin Shui Wai Park Pet Garden,Yuen Long,"Tin Shui Wai Park, Tin Shui Wai",22.465,114.003
Yuen Long Park Pet Garden,Yuen Long,"Yuen Long Park, Yuen Long",22.4443,114.0217
Chai Wan Park Pet Garden,Eastern,"Chai Wan Park, Chai Wan",22.2639,114.237
Aberdeen Country Park Pet Area,Southern,"Aberdeen, Southern District",22.2475,114.1565
South Horizons Pet Garden,Southern,"South Horizons, Ap Lei Chau",22.2433,114.1485
Tsuen Wan Riviera Park Pet Garden,Tsuen Wan,"Riviera Park, Tsuen Wan",22.3715,114.113
Ma On Shan Park Pet Garden,Sha Tin,"Ma On Shan Park, Ma On Shan",22.424,114.232
Kwai Chung Park Pet Garden,Kwai Tsing,"Kwai Chung Park, Kwai Chung",22.3578,114.1268
Tseung Kwan O Pet Garden,Sai Kung,"Tseung Kwan O, Sai Kung",22.31,114.258
Sai Kung Pet Garden,Sai Kung,"Sai Kung Town, Sai Kung",22.3818,114.2713
Kennedy Town Pet Garden,Central and Western,"Kennedy Town, Central and Western",22.282,114.1283
Pok Fu Lam Pet Garden,Southern,"Pok Fu Lam, Southern District",22.2594,114.1354
Sham Shui Po Park Pet Garden,Sham Shui Po,"Sham Shui Po Park, Sham Shui Po",22.3318,114.159
Tsing Yi Park Pet Garden,Kwai Tsing,"Tsing Yi Park, Tsing Yi",22.3445,114.1052
Kwun Tong Promenade Pet Garden,Kwun Tong,"Kwun Tong Promenade, Kwun Tong",22.3118,114.225
Kai Tak Pet Garden,Kowloon City,"Kai Tak, Kowloon City",22.3287,114.203
Lei Yue Mun Park Pet Garden,Kwun Tong,"Lei Yue Mun Park, Kwun Tong",22.299,114.235
Tai Kok Tsui Pet Garden,Yau Tsim Mong,"Cherry Street Park, Tai Kok Tsui",22.3224,114.1615
Hung Hom Park Pet Garden,Kowloon City,"Hung Hom Park, Hung Hom",22.3075,114.187
Aberdeen Promenade Pet Garden,Southern,"Aberdeen Promenade, Aberdeen",22.248,114.155
Tung Chung North Park Pet Garden,Islands,"Tung Chung North Park, Tung Chung",22.292,113.943
Discovery Bay Pet Garden,Islands,"Discovery Bay, Lantau Island",22.2944,114.0157
Ap Lei Chau Wind Tower Park Pet Garden,Southern,Ap Lei Chau Wind Tower Park,22.2438,114.152
To Kwa Wan Pet Garden,Kowloon City,"Sung Wong Toi Garden, To Kwa Wan",22.326,114.189
Central Dog Exercise Area,Central and Western,"Sun Yat Sen Memorial Park, Sai Ying Pun",22.288,114.141
Wan Chai Dog Exercise Area,Wan Chai,"Wan Chai Park, Wan Chai",22.277,114.173
Yau Ma Tei Pet Garden,Yau Tsim Mong,"Yau Ma Tei, Yau Tsim Mong",22.312,114.17
