name,latitude,longitude,city,country,data_source,confidence_score,osm_id
Dog Park 4471412873,40.7421784,-74.0329492,New York,USA,OpenStreetMap (leisure=dog_park),0.85,4471412873
Brooklyn Bridge Park - Pier 6 - Dog Run,40.6927371,-74.0000345,New York,USA,OpenStreetMap (leisure=dog_park),0.85,4501525471
Dog Park 6812776981,40.7719369,-74.0122651,New York,USA,OpenStreetMap (leisure=dog_park),0.85,6812776981
Dog Park 7771253020,40.758072,-73.9522277,New York,USA,OpenStreetMap (leisure=dog_park),0.85,7771253020
Main Street Dog Run,40.7040161,-73.9887016,New York,USA,OpenStreetMap (leisure=dog_park),0.85,10251064201
Dog Park 32866746,40.7198134,-73.9531997,New York,USA,OpenStreetMap (leisure=dog_park),0.85,32866746
Hillside Dog Park,40.7014274,-73.9942579,New York,USA,OpenStreetMap (leisure=dog_park),0.85,39513389
Dog Park 192855284,40.746887,-73.9482292,New York,USA,OpenStreetMap (leisure=dog_park),0.85,192855284
Tompkins Square Dog Run,40.7264897,-73.9811727,New York,USA,OpenStreetMap (leisure=dog_park),0.85,237523061
Dog Park 239936684,40.7438434,-73.9534024,New York,USA,OpenStreetMap (leisure=dog_park),0.85,239936684
Leroy Street Dog Run,40.7303611,-74.0109385,New York,USA,OpenStreetMap (leisure=dog_park),0.85,244980064
Tribeca Dog Park,40.7215434,-74.0123483,New York,USA,OpenStreetMap (leisure=dog_park),0.85,244981405
The Fi Office,40.7286148,-73.9919936,New York,USA,OpenStreetMap (leisure=dog_park),0.85,247838631
West 72nd Street Dog Run,40.781204,-73.9865987,New York,USA,OpenStreetMap (leisure=dog_park),0.85,252227357
Bull Moose Dog Run,40.7821428,-73.9738145,New York,USA,OpenStreetMap (leisure=dog_park),0.85,255672316
DiMattina Playground Dog Run,40.6797282,-74.0029296,New York,USA,OpenStreetMap (leisure=dog_park),0.85,257723260
Dog Park 265560940,40.7414914,-74.0281718,New York,USA,OpenStreetMap (leisure=dog_park),0.85,265560940
Jemmy's Dog Run,40.742379,-73.9885755,New York,USA,OpenStreetMap (leisure=dog_park),0.85,297995657
Small Dog Run,40.7739394,-73.9438624,New York,USA,OpenStreetMap (leisure=dog_park),0.85,308989079
Large Dog Run,40.7742335,-73.9439784,New York,USA,OpenStreetMap (leisure=dog_park),0.85,308989242
Fishbridge Park Dog Run,40.7091907,-74.0015206,New York,USA,OpenStreetMap (leisure=dog_park),0.85,315404577
Dog Park 328281970,40.6927366,-74.0000328,New York,USA,OpenStreetMap (leisure=dog_park),0.85,328281970
Washington Square Park Dog Run,40.7306583,-73.9984529,New York,USA,OpenStreetMap (leisure=dog_park),0.85,336863051
