country_code,country_name,country_name_full,region,continent,n_parks,parks_per_100k,park_density_score,estimated_population,n_nodes,n_ways,avg_lat,avg_lon,population,global_rank,global_percentile,tier,dog_park_access_score,development_level,analysis_year,last_updated,cluster,peer_1,peer_1_parks,peer_2,peer_2_parks,peer_3,peer_3_parks,parks_per_100k_display,global_rank_display,global_percentile_display,popup_text
DK,Denmark,Denmark,Europe & Central Asia,Europe,522,8.842905778838928,100,5903037,22,500,55.898569520306516,10.635686994827585,5903037,1,100,Top Tier,100,High Income,2023,2026-04-19,Leaders (High Parks),Netherlands,6.971,Austria,6.182,Belgium,5.788,8.84,1,100,<b>Denmark</b><br/>Region: Europe & Central Asia<br/>Dog Parks: 522<br/>Parks per 100k: 8.84<br/>Global Rank: 1 / 96<br/>Percentile: 100.0%<br/>Tier: Top Tier
GL,Greenland,Greenland,Europe & Central Asia,Americas,5,8.82441185295,99.79084747561274,56661,0,5,67.78933326,-51.7271285,56661,2,98.95833333333334,Top Tier,99.79084747561274,Low Income,2023,2026-04-19,Developing (Moderate Parks),Faroe Islands,3.71,Luxembourg,4.134,Iceland,3.141,8.82,2,99,<b>Greenland</b><br/>Region: Europe & Central Asia<br/>Dog Parks: 5<br/>Parks per 100k: 8.82<br/>Global Rank: 2 / 96<br/>Percentile: 99.0%<br/>Tier: Top Tier
NL,Netherlands,Netherlands,Europe & Central Asia,Europe,1234,6.971364639543728,78.83426395622327,17700982,203,1031,51.957599470340355,5.450459321474878,17700982,3,97.91666666666666,Top Tier,78.83426395622327,High Income,2023,2026-04-19,Leaders (High Parks),Austria,6.182,Belgium,5.788,Sweden,5.292,6.97,3,97.9,<b>Netherlands</b><br/>Region: Europe & Central Asia<br/>Dog Parks: 1234<br/>Parks per 100k: 6.97<br/>Global Rank: 3 / 96<br/>Percentile: 97.9%<br/>Tier: Top Tier
AT,Austria,Austria,Europe & Central Asia,Europe,559,6.182362438841339,69.91123684910092,9041851,32,527,47.887029425223616,15.353779440966012,9041851,4,96.875,Advanced,69.91123684910092,High Income,2023,2026-04-19,Leaders (High Parks),Belgium,5.788,Sweden,5.292,Netherlands,6.971,6.18,4,96.9,<b>Austria</b><br/>Region: Europe & Central Asia<br/>Dog Parks: 559<br/>Parks per 100k: 6.18<br/>Global Rank: 4 / 96<br/>Percentile: 96.9%<br/>Tier: Advanced
BE,Belgium,Belgium,Europe & Central Asia,Europe,676,5.787567175590165,65.44639653228347,11680210,49,627,51.00810492633136,4.426912578106509,11680210,5,95.83333333333334,Advanced,65.44639653228347,High Income,2023,2026-04-19,Leaders (High Parks),Austria,6.182,Sweden,5.292,Hungary,5.008,5.79,5,95.8,<b>Belgium</b><br/>Region: Europe & Central Asia<br/>Dog Parks: 676<br/>Parks per 100k: 5.79<br/>Global Rank: 5 / 96<br/>Percentile: 95.8%<br/>Tier: Advanced
EE,Estonia,Estonia,Europe & Central Asia,Europe,76,5.634471101094274,63.714993981688885,1348840,6,70,59.19590068026316,25.103058784210525,1348840,6,94.79166666666666,Advanced,63.714993981688885,High Income,2023,2026-04-19,Leaders (High Parks),Austria,6.182,Hungary,5.008,Sweden,5.292,5.63,6,94.8,<b>Estonia</b><br/>Region: Europe & Central Asia<br/>Dog Parks: 76<br/>Parks per 100k: 5.63<br/>Global Rank: 6 / 96<br/>Percentile: 94.8%<br/>Tier: Advanced
SE,Sweden,Sweden,Europe & Central Asia,Europe,555,5.292296390339185,59.84525291287901,10486941,56,499,58.39390918216216,15.580141353513513,10486941,7,93.75,Developing,59.84525291287901,High Income,2023,2026-04-19,Leaders (High Parks),Hungary,5.008,Belgium,5.788,Austria,6.182,5.29,7,93.8,<b>Sweden</b><br/>Region: Europe & Central Asia<br/>Dog Parks: 555<br/>Parks per 100k: 5.29<br/>Global Rank: 7 / 96<br/>Percentile: 93.8%<br/>Tier: Developing
HU,Hungary,Hungary,Europe & Central Asia,Europe,481,5.007769851642996,56.62746972390734,9605074,109,372,47.35511220582121,19.077539976507275,9605074,8,92.70833333333334,Developing,56.62746972390734,High Income,2023,2026-04-19,Leaders (High Parks),Sweden,5.292,Belgium,5.788,Austria,6.182,5.01,8,92.7,<b>Hungary</b><br/>Region: Europe & Central Asia<br/>Dog Parks: 481<br/>Parks per 100k: 5.01<br/>Global Rank: 8 / 96<br/>Percentile: 92.7%<br/>Tier: Developing
LU,Luxembourg,Luxembourg,Europe & Central Asia,Europe,27,4.134110546116003,46.747033828206256,653103,4,23,49.59924886666667,6.1005119444444444,653103,9,91.66666666666666,Developing,46.747033828206256,High Income,2023,2026-04-19,Developing (Moderate Parks),Iceland,3.141,Faroe Islands,3.71,Andorra,2.509,4.13,9,91.7,<b>Luxembourg</b><br/>Region: Europe & Central Asia<br/>Dog Parks: 27<br/>Parks per 100k: 4.13<br/>Global Rank: 9 / 96<br/>Percentile: 91.7%<br/>Tier: Developing
ES,Spain,Spain,Europe & Central Asia,Europe,1973,4.128815528833049,46.68715112736408,47786102,243,1730,40.03344777987836,-2.310339212214901,47786102,10,90.625,Developing,46.68715112736408,High Income,2023,2026-04-19,Leaders (High Parks),Italy,3.923,Australia,3.482,Czechia,3.776,4.13,10,90.6,<b>Spain</b><br/>Region: Europe & Central Asia<br/>Dog Parks: 1973<br/>Parks per 100k: 4.13<br/>Global Rank: 10 / 96<br/>Percentile: 90.6%<br/>Tier: Developing
