country_name,region,parks_per_100k,region_quartile_label,peers
Australia,East Asia & Pacific,3.482108132832509,Regional Leader,"Marshall Islands, New Zealand, Singapore"
Marshall Islands,East Asia & Pacific,2.4951967462634426,Regional Leader,"New Zealand, Australia, Singapore"
New Zealand,East Asia & Pacific,1.7317039573371118,Regional Leader,"Marshall Islands, Singapore, Japan"
Singapore,East Asia & Pacific,0.567675627308178,Above Average,"Japan, Taiwan, Province of China, Korea, Republic of"
Japan,East Asia & Pacific,0.23176825214346272,Above Average,"Taiwan, Province of China, Korea, Republic of, Malaysia"
"Taiwan, Province of China",East Asia & Pacific,0.104,Above Average,"Korea, Republic of, Malaysia, Thailand"
"Korea, Republic of",East Asia & Pacific,0.08321629992888491,Below Average,"Taiwan, Province of China, Malaysia, Thailand"
Malaysia,East Asia & Pacific,0.017293312419569884,Below Average,"Thailand, China, Indonesia"
Thailand,East Asia & Pacific,0.016728159147356807,Below Average,"Malaysia, China, Indonesia"
China,East Asia & Pacific,0.005240143749889355,Regional Laggard,"Indonesia, Viet Nam, Thailand"
Indonesia,East Asia & Pacific,0.0028691262856657992,Regional Laggard,"Viet Nam, China, Thailand"
Viet Nam,East Asia & Pacific,0.002006407361588866,Regional Laggard,"Indonesia, China, Thailand"
Denmark,Europe & Central Asia,8.842905778838928,Regional Leader,"Greenland, Netherlands, Austria"
Greenland,Europe & Central Asia,8.82441185295,Regional Leader,"Denmark, Netherlands, Austria"
Netherlands,Europe & Central Asia,6.971364639543728,Regional Leader,"Austria, Belgium, Estonia"
Austria,Europe & Central Asia,6.182362438841339,Regional Leader,"Belgium, Estonia, Netherlands"
Belgium,Europe & Central Asia,5.787567175590165,Regional Leader,"Estonia, Austria, Sweden"
Estonia,Europe & Central Asia,5.634471101094274,Regional Leader,"Belgium, Sweden, Austria"
Sweden,Europe & Central Asia,5.292296390339185,Regional Leader,"Hungary, Estonia, Belgium"
Hungary,Europe & Central Asia,5.007769851642996,Regional Leader,"Sweden, Estonia, Belgium"
Luxembourg,Europe & Central Asia,4.134110546116003,Regional Leader,"Spain, Italy, Czechia"
Spain,Europe & Central Asia,4.128815528833049,Regional Leader,"Luxembourg, Italy, Czechia"
Italy,Europe & Central Asia,3.9228201155505213,Regional Leader,"Czechia, Spain, Luxembourg"
Czechia,Europe & Central Asia,3.7761951282772546,Regional Leader,"Faroe Islands, Italy, Spain"
Faroe Islands,Europe & Central Asia,3.7097492209526637,Above Average,"Czechia, Italy, Spain"
Iceland,Europe & Central Asia,3.1413365863618874,Above Average,"Slovakia, Croatia, Faroe Islands"
Slovakia,Europe & Central Asia,3.0929247137940026,Above Average,"Iceland, Croatia, Monaco"
Croatia,Europe & Central Asia,2.7232825877720463,Above Average,"Monaco, Liechtenstein, Andorra"
Monaco,Europe & Central Asia,2.5686470935758137,Above Average,"Liechtenstein, Andorra, Germany"
Liechtenstein,Europe & Central Asia,2.532094295191553,Above Average,"Andorra, Monaco, Germany"
Andorra,Europe & Central Asia,2.50925286995797,Above Average,"Liechtenstein, Monaco, Germany"
Germany,Europe & Central Asia,2.426127746349859,Above Average,"Andorra, Lithuania, Liechtenstein"
