country_name,region,parks_per_100k,global_rank,global_percentile,tier_numeric,performance_status
Denmark,Europe & Central Asia,8.842905778838928,1,100,Top Tier,Global Leader
Greenland,Europe & Central Asia,8.82441185295,2,98.95833333333334,Advanced,Global Leader
Netherlands,Europe & Central Asia,6.971364639543728,3,97.91666666666666,Advanced,Global Leader
Austria,Europe & Central Asia,6.182362438841339,4,96.875,Developing,Global Leader
Belgium,Europe & Central Asia,5.787567175590165,5,95.83333333333334,Developing,Global Leader
Estonia,Europe & Central Asia,5.634471101094274,6,94.79166666666666,Developing,Global Leader
Sweden,Europe & Central Asia,5.292296390339185,7,93.75,Developing,Global Leader
Hungary,Europe & Central Asia,5.007769851642996,8,92.70833333333334,Developing,Global Leader
Luxembourg,Europe & Central Asia,4.134110546116003,9,91.66666666666666,Developing,Global Leader
Spain,Europe & Central Asia,4.128815528833049,10,90.625,Developing,Global Leader
Italy,Europe & Central Asia,3.9228201155505213,11,89.58333333333334,Developing,Global Leader
Czechia,Europe & Central Asia,3.7761951282772546,12,88.54166666666666,Developing,Global Leader
Faroe Islands,Europe & Central Asia,3.7097492209526637,13,87.5,Developing,Global Leader
Australia,East Asia & Pacific,3.482108132832509,14,86.45833333333334,Emerging,Global Leader
Iceland,Europe & Central Asia,3.1413365863618874,15,85.41666666666666,Emerging,Global Leader
Slovakia,Europe & Central Asia,3.0929247137940026,16,84.375,Emerging,Global Leader
Israel,Middle East & North Africa,2.9191734240125555,17,83.33333333333334,Emerging,Global Leader
Croatia,Europe & Central Asia,2.7232825877720463,18,82.29166666666666,Emerging,Global Leader
Monaco,Europe & Central Asia,2.5686470935758137,19,81.25,Emerging,Global Leader
Liechtenstein,Europe & Central Asia,2.532094295191553,20,80.20833333333334,Emerging,Global Leader
Canada,North America,2.5195234818304346,21,79.16666666666666,Emerging,Global Leader
Andorra,Europe & Central Asia,2.50925286995797,22,78.125,Emerging,Global Leader
Marshall Islands,East Asia & Pacific,2.4951967462634426,23,77.08333333333334,Emerging,Global Leader
Germany,Europe & Central Asia,2.426127746349859,24,76.04166666666666,Emerging,Global Leader
Lithuania,Europe & Central Asia,2.3308055864465773,25,75,Emerging,Global Leader
Norway,Europe & Central Asia,1.7408427548048635,26,73.95833333333334,Emerging,Above Global Average
New Zealand,East Asia & Pacific,1.7317039573371118,27,72.91666666666666,Emerging,Above Global Average
France,Europe & Central Asia,1.6895346105051479,28,71.875,Emerging,Above Global Average
Latvia,Europe & Central Asia,1.6494775146949823,29,70.83333333333334,Emerging,Above Global Average
Portugal,Europe & Central Asia,1.5717345394031934,30,69.79166666666666,Emerging,Above Global Average
Switzerland,Europe & Central Asia,1.458342447973633,31,68.75,Emerging,Above Global Average
Belarus,Europe & Central Asia,1.4412546240704043,32,67.70833333333334,Emerging,Above Global Average
Bulgaria,Europe & Central Asia,1.3920904821690998,33,66.66666666666666,Emerging,Above Global Average
Cyprus,Europe & Central Asia,1.3519908064625161,34,65.625,Emerging,Above Global Average
Malta,Middle East & North Africa,1.129703095198197,35,64.58333333333334,Emerging,Above Global Average
Serbia,Europe & Central Asia,0.720239587698848,36,63.541666666666664,Low Tier,Above Global Average
Costa Rica,Latin America & Caribbean,0.6887370824900404,37,62.5,Low Tier,Above Global Average
