country_name,region,tier_numeric,composite_score,global_rank,gap_to_next_tier,improvement_opportunity
Faroe Islands,Europe & Central Asia,Developing,45.973911688492905,13,14.026088311507095,High
Czechia,Europe & Central Asia,Developing,46.349638544315894,12,13.650361455684106,High
Malta,Middle East & North Africa,Emerging,31.38471187559092,35,13.61528812440908,High
Italy,Europe & Central Asia,Developing,47.17874823175157,11,12.82125176824843,High
Cyprus,Europe & Central Asia,Emerging,32.641666083973334,34,12.358333916026666,High
Bulgaria,Europe & Central Asia,Emerging,32.86841481357011,33,12.131585186429888,High
Belarus,Europe & Central Asia,Emerging,33.1464197231212,32,11.853580276878802,High
Switzerland,Europe & Central Asia,Emerging,33.24304500233747,31,11.756954997662532,High
Spain,Europe & Central Asia,Developing,48.34357556368204,10,11.656424436317963,High
Luxembourg,Europe & Central Asia,Developing,48.37351691410313,9,11.626483085896872,High
Portugal,Europe & Central Asia,Emerging,33.88423504252908,30,11.115764957470923,High
Latvia,Europe & Central Asia,Emerging,34.32384260971927,29,10.676157390280729,High
Netherlands,Europe & Central Asia,Advanced,64.41713197811163,3,10.582868021888373,High
France,Europe & Central Asia,Emerging,34.550350565862175,28,10.449649434137825,High
New Zealand,East Asia & Pacific,Emerging,34.78880251475173,27,10.21119748524827,High
Norway,Europe & Central Asia,Emerging,34.840479010367744,26,10.159520989632256,High
Lithuania,Europe & Central Asia,Emerging,38.176499071051545,25,6.823500928948455,Medium
Hungary,Europe & Central Asia,Developing,53.31373486195367,8,6.6862651380463305,Medium
Germany,Europe & Central Asia,Emerging,38.7155103792388,24,6.2844896207611995,Medium
Marshall Islands,East Asia & Pacific,Emerging,39.106069846590145,23,5.893930153409855,Medium
Andorra,Europe & Central Asia,Emerging,39.18555199038879,22,5.814448009611212,Medium
Canada,North America,Emerging,39.24362847487967,21,5.756371525120329,Medium
Liechtenstein,Europe & Central Asia,Emerging,39.31471174199856,20,5.685288258001442,Medium
Monaco,Europe & Central Asia,Emerging,39.52140420149587,19,5.478595798504131,Medium
Sweden,Europe & Central Asia,Developing,54.9226264564395,7,5.077373543560498,Medium
Bangladesh,South Asia,Low Tier,25,96,5,Low
India,South Asia,Low Tier,25.00618242520249,95,4.993817574797511,Low
Egypt,Middle East & North Africa,Low Tier,25.006703785355224,94,4.993296214644776,Low
Jersey,Europe & Central Asia,Low Tier,25.00797092462692,93,4.992029075373079,Low
Viet Nam,East Asia & Pacific,Low Tier,25.00800715587006,92,4.991992844129939,Low
Iraq,Middle East & North Africa,Low Tier,25.00949252236981,91,4.990507477630189,Low
Uzbekistan,Europe & Central Asia,Low Tier,25.012845975953617,90,4.987154024046383,Low
Indonesia,East Asia & Pacific,Low Tier,25.012885510035936,89,4.987114489964064,Low
Namibia,NA,Low Tier,25.01928017965711,88,4.980719820342891,Low
China,East Asia & Pacific,Low Tier,25.0262927306279,87,4.973707269372099,Low
Morocco,Middle East & North Africa,Low Tier,25.026957781575824,86,4.973042218424176,Low
Kenya,Sub-Saharan Africa,Low Tier,25.027930080711357,85,4.972069919288643,Low
Madagascar,Sub-Saharan Africa,Low Tier,25.03381762469462,84,4.9661823753053795,Low
Algeria,Middle East & North Africa,Low Tier,25.033963464880717,83,4.966036535119283,Low
"Iran, Islamic Republic of",Middle East & North Africa,Low Tier,25.04087582874827,82,4.95912417125173,Low
Saudi Arabia,Middle East & North Africa,Low Tier,25.04938510221458,81,4.950614897785421,Low
Honduras,Latin America & Caribbean,Low Tier,25.050701202143514,80,4.9492987978564855,Low
Azerbaijan,Europe & Central Asia,Low Tier,25.05241757138626,79,4.947582428613739,Low
Nepal,South Asia,Low Tier,25.053749448976045,78,4.9462505510239545,Low
Paraguay,Latin America & Caribbean,Low Tier,25.080304264470307,77,4.919695735529693,Low
Tunisia,Middle East & North Africa,Low Tier,25.089977482414398,76,4.9100225175856025,Low
Thailand,East Asia & Pacific,Low Tier,25.091253178588243,75,4.908746821411757,Low
Malaysia,East Asia & Pacific,Low Tier,25.09444890983154,74,4.9055510901684585,Low
Dominican Republic,Latin America & Caribbean,Low Tier,25.097360831647826,73,4.902639168352174,Low
Cuba,Latin America & Caribbean,Low Tier,25.098916995905725,72,4.901083004094275,Low
Oman,Middle East & North Africa,Low Tier,25.11620410826866,71,4.883795891731339,Low
"Bolivia, Plurinational State of",Latin America & Caribbean,Low Tier,25.18394511452403,70,4.816054885475971,Low
"Venezuela, Bolivarian Republic of",Latin America & Caribbean,Low Tier,25.197087859929148,69,4.802912140070852,Low
Albania,Europe & Central Asia,Low Tier,25.22730877687912,68,4.77269122312088,Low
