global_rank,country_name,region,parks_per_100k,global_percentile,tier_numeric,performance_status
1,Denmark,Europe & Central Asia,8.842905778838928,100,Top Tier,Global Leader
2,Greenland,Europe & Central Asia,8.82441185295,98.95833333333334,Advanced,Global Leader
3,Netherlands,Europe & Central Asia,6.971364639543728,97.91666666666666,Advanced,Global Leader
4,Austria,Europe & Central Asia,6.182362438841339,96.875,Developing,Global Leader
5,Belgium,Europe & Central Asia,5.787567175590165,95.83333333333334,Developing,Global Leader
6,Estonia,Europe & Central Asia,5.634471101094274,94.79166666666666,Developing,Global Leader
7,Sweden,Europe & Central Asia,5.292296390339185,93.75,Developing,Global Leader
8,Hungary,Europe & Central Asia,5.007769851642996,92.70833333333334,Developing,Global Leader
9,Luxembourg,Europe & Central Asia,4.134110546116003,91.66666666666666,Developing,Global Leader
10,Spain,Europe & Central Asia,4.128815528833049,90.625,Developing,Global Leader
11,Italy,Europe & Central Asia,3.9228201155505213,89.58333333333334,Developing,Global Leader
12,Czechia,Europe & Central Asia,3.7761951282772546,88.54166666666666,Developing,Global Leader
13,Faroe Islands,Europe & Central Asia,3.7097492209526637,87.5,Developing,Global Leader
14,Australia,East Asia & Pacific,3.482108132832509,86.45833333333334,Emerging,Global Leader
15,Iceland,Europe & Central Asia,3.1413365863618874,85.41666666666666,Emerging,Global Leader
16,Slovakia,Europe & Central Asia,3.0929247137940026,84.375,Emerging,Global Leader
17,Israel,Middle East & North Africa,2.9191734240125555,83.33333333333334,Emerging,Global Leader
18,Croatia,Europe & Central Asia,2.7232825877720463,82.29166666666666,Emerging,Global Leader
19,Monaco,Europe & Central Asia,2.5686470935758137,81.25,Emerging,Global Leader
20,Liechtenstein,Europe & Central Asia,2.532094295191553,80.20833333333334,Emerging,Global Leader
21,Canada,North America,2.5195234818304346,79.16666666666666,Emerging,Global Leader
22,Andorra,Europe & Central Asia,2.50925286995797,78.125,Emerging,Global Leader
23,Marshall Islands,East Asia & Pacific,2.4951967462634426,77.08333333333334,Emerging,Global Leader
24,Germany,Europe & Central Asia,2.426127746349859,76.04166666666666,Emerging,Global Leader
25,Lithuania,Europe & Central Asia,2.3308055864465773,75,Emerging,Global Leader
26,Norway,Europe & Central Asia,1.7408427548048635,73.95833333333334,Emerging,Above Global Average
27,New Zealand,East Asia & Pacific,1.7317039573371118,72.91666666666666,Emerging,Above Global Average
28,France,Europe & Central Asia,1.6895346105051479,71.875,Emerging,Above Global Average
29,Latvia,Europe & Central Asia,1.6494775146949823,70.83333333333334,Emerging,Above Global Average
30,Portugal,Europe & Central Asia,1.5717345394031934,69.79166666666666,Emerging,Above Global Average
31,Switzerland,Europe & Central Asia,1.458342447973633,68.75,Emerging,Above Global Average
32,Belarus,Europe & Central Asia,1.4412546240704043,67.70833333333334,Emerging,Above Global Average
33,Bulgaria,Europe & Central Asia,1.3920904821690998,66.66666666666666,Emerging,Above Global Average
34,Cyprus,Europe & Central Asia,1.3519908064625161,65.625,Emerging,Above Global Average
35,Malta,Middle East & North Africa,1.129703095198197,64.58333333333334,Emerging,Above Global Average
36,Serbia,Europe & Central Asia,0.720239587698848,63.541666666666664,Low Tier,Above Global Average
37,Costa Rica,Latin America & Caribbean,0.6887370824900404,62.5,Low Tier,Above Global Average
38,Ireland,Europe & Central Asia,0.6522361340352929,61.458333333333336,Low Tier,Above Global Average
39,Romania,Europe & Central Asia,0.5879727445234276,60.416666666666664,Low Tier,Above Global Average
40,Singapore,East Asia & Pacific,0.567675627308178,59.375,Low Tier,Above Global Average
41,Ukraine,Europe & Central Asia,0.47991698459339804,58.333333333333336,Low Tier,Above Global Average
42,North Macedonia,Europe & Central Asia,0.43674988207753185,57.291666666666664,Low Tier,Above Global Average
43,Greece,Europe & Central Asia,0.43116325354641355,56.25,Low Tier,Above Global Average
44,Georgia,Europe & Central Asia,0.430976198800701,55.208333333333336,Low Tier,Above Global Average
45,Bosnia and Herzegovina,Europe & Central Asia,0.3744381088129625,54.166666666666664,Low Tier,Above Global Average
46,Barbados,Latin America & Caribbean,0.35421050021606837,53.125,Low Tier,Above Global Average
47,Montenegro,Europe & Central Asia,0.3207230380169053,52.083333333333336,Low Tier,Above Global Average
48,Armenia,Europe & Central Asia,0.23575373838070862,51.041666666666664,Low Tier,Above Global Average
49,Japan,East Asia & Pacific,0.23176825214346272,50,Low Tier,Above Global Average
50,Chile,Latin America & Caribbean,0.19945751646956514,48.95833333333333,Low Tier,Below Global Average
