country_name,region,n_parks,parks_per_100k,estimated_population,park_density_score,cluster_id,cluster_label
Lithuania,Europe & Central Asia,66,2.3308055864465773,2831639,26.35299814210309,1,Transitioning (Low-Moderate)
Norway,Europe & Central Asia,95,1.7408427548048635,5457127,19.680958020735492,1,Transitioning (Low-Moderate)
New Zealand,East Asia & Pacific,88,1.7317039573371118,5081700,19.57760502950346,1,Transitioning (Low-Moderate)
France,Europe & Central Asia,1152,1.6895346105051479,68184457,19.100701131724357,1,Transitioning (Low-Moderate)
Latvia,Europe & Central Asia,31,1.6494775146949823,1879383,18.647685219438547,1,Transitioning (Low-Moderate)
Portugal,Europe & Central Asia,164,1.5717345394031934,10434332,17.768470085058155,1,Transitioning (Low-Moderate)
Switzerland,Europe & Central Asia,128,1.458342447973633,8777088,16.486090004674942,1,Transitioning (Low-Moderate)
Belarus,Europe & Central Asia,133,1.4412546240704043,9228071,16.292839446242397,1,Transitioning (Low-Moderate)
Bulgaria,Europe & Central Asia,90,1.3920904821690998,6465097,15.736829627140228,1,Transitioning (Low-Moderate)
Cyprus,Europe & Central Asia,18,1.3519908064625161,1331370,15.283332167946668,1,Transitioning (Low-Moderate)
Malta,Middle East & North Africa,6,1.129703095198197,531113,12.76942375118184,1,Transitioning (Low-Moderate)
Serbia,Europe & Central Asia,48,0.720239587698848,6664449,8.138696519316694,1,Transitioning (Low-Moderate)
Costa Rica,Latin America & Caribbean,35,0.6887370824900404,5081765,7.782426653820485,1,Transitioning (Low-Moderate)
Ireland,Europe & Central Asia,34,0.6522361340352929,5212836,7.369628118902023,1,Transitioning (Low-Moderate)
Romania,Europe & Central Asia,112,0.5879727445234276,19048502,6.642857057808076,1,Transitioning (Low-Moderate)
Singapore,East Asia & Pacific,32,0.567675627308178,5637022,6.413311782843212,1,Transitioning (Low-Moderate)
Ukraine,Europe & Central Asia,197,0.47991698459339804,41048766,5.4208269112786756,1,Transitioning (Low-Moderate)
North Macedonia,Europe & Central Asia,8,0.43674988207753185,1831712,4.932639140012505,1,Transitioning (Low-Moderate)
Greece,Europe & Central Asia,45,0.43116325354641355,10436882,4.869458533195167,1,Transitioning (Low-Moderate)
Georgia,Europe & Central Asia,16,0.430976198800701,3712502,4.867343083371297,1,Transitioning (Low-Moderate)
Bosnia and Herzegovina,Europe & Central Asia,12,0.3744381088129625,3204802,4.227939404780283,1,Transitioning (Low-Moderate)
Barbados,Latin America & Caribbean,1,0.35421050021606837,282318,3.9991802205071982,1,Transitioning (Low-Moderate)
Montenegro,Europe & Central Asia,2,0.3207230380169053,623591,3.6204619701831064,1,Transitioning (Low-Moderate)
