country,cluster,peer_1,peer_1_parks,peer_2,peer_2_parks,peer_3,peer_3_parks
Denmark,Leaders (High Parks),Netherlands,6.971,Austria,6.182,Belgium,5.788
Greenland,Developing (Moderate Parks),Faroe Islands,3.71,Luxembourg,4.134,Iceland,3.141
Netherlands,Leaders (High Parks),Austria,6.182,Belgium,5.788,Sweden,5.292
Austria,Leaders (High Parks),Belgium,5.788,Sweden,5.292,Netherlands,6.971
Belgium,Leaders (High Parks),Austria,6.182,Sweden,5.292,Hungary,5.008
Estonia,Leaders (High Parks),Austria,6.182,Hungary,5.008,Sweden,5.292
Sweden,Leaders (High Parks),Hungary,5.008,Belgium,5.788,Austria,6.182
Hungary,Leaders (High Parks),Sweden,5.292,Belgium,5.788,Austria,6.182
Luxembourg,Developing (Moderate Parks),Iceland,3.141,Faroe Islands,3.71,Andorra,2.509
Spain,Leaders (High Parks),Italy,3.923,Australia,3.482,Czechia,3.776
Italy,Leaders (High Parks),Spain,4.129,Australia,3.482,Canada,2.52
Czechia,Leaders (High Parks),Israel,2.919,Australia,3.482,Slovakia,3.093
Faroe Islands,Developing (Moderate Parks),Monaco,2.569,Liechtenstein,2.532,Marshall Islands,2.495
Australia,Leaders (High Parks),Spain,4.129,Czechia,3.776,Italy,3.923
Iceland,Developing (Moderate Parks),Luxembourg,4.134,Andorra,2.509,Faroe Islands,3.71
Slovakia,Leaders (High Parks),Croatia,2.723,Israel,2.919,Czechia,3.776
Israel,Leaders (High Parks),Slovakia,3.093,Croatia,2.723,Czechia,3.776
Croatia,Leaders (High Parks),Slovakia,3.093,Israel,2.919,Czechia,3.776
Monaco,Developing (Moderate Parks),Liechtenstein,2.532,Marshall Islands,2.495,Andorra,2.509
Liechtenstein,Developing (Moderate Parks),Monaco,2.569,Marshall Islands,2.495,Andorra,2.509
Canada,Leaders (High Parks),Germany,2.426,Australia,3.482,Israel,2.919
Andorra,Developing (Moderate Parks),Marshall Islands,2.495,Liechtenstein,2.532,Monaco,2.569
Marshall Islands,Developing (Moderate Parks),Liechtenstein,2.532,Monaco,2.569,Andorra,2.509
Germany,Leaders (High Parks),Canada,2.52,Australia,3.482,Italy,3.923
Lithuania,Transitioning (Low-Moderate),Latvia,1.649,New Zealand,1.732,Norway,1.741
Norway,Transitioning (Low-Moderate),New Zealand,1.732,Bulgaria,1.392,Switzerland,1.458
New Zealand,Transitioning (Low-Moderate),Norway,1.741,Bulgaria,1.392,Switzerland,1.458
France,Transitioning (Low-Moderate),Ukraine,0.48,Portugal,1.572,Romania,0.588
Latvia,Transitioning (Low-Moderate),Cyprus,1.352,Lithuania,2.331,New Zealand,1.732
Portugal,Transitioning (Low-Moderate),Belarus,1.441,Switzerland,1.458,Bulgaria,1.392
Switzerland,Transitioning (Low-Moderate),Belarus,1.441,Portugal,1.572,Bulgaria,1.392
Belarus,Transitioning (Low-Moderate),Switzerland,1.458,Portugal,1.572,Bulgaria,1.392
Bulgaria,Transitioning (Low-Moderate),Switzerland,1.458,Belarus,1.441,Norway,1.741
Cyprus,Transitioning (Low-Moderate),Latvia,1.649,Malta,1.13,Lithuania,2.331
Malta,Transitioning (Low-Moderate),Cyprus,1.352,Montenegro,0.321,Latvia,1.649
Serbia,Transitioning (Low-Moderate),Ireland,0.652,Costa Rica,0.689,Singapore,0.568
Costa Rica,Transitioning (Low-Moderate),Ireland,0.652,Singapore,0.568,Serbia,0.72
Ireland,Transitioning (Low-Moderate),Costa Rica,0.689,Singapore,0.568,Serbia,0.72
Romania,Transitioning (Low-Moderate),Greece,0.431,Ukraine,0.48,Chile,0.199
Singapore,Transitioning (Low-Moderate),Ireland,0.652,Costa Rica,0.689,Serbia,0.72
Ukraine,Transitioning (Low-Moderate),Romania,0.588,Chile,0.199,Greece,0.431
North Macedonia,Transitioning (Low-Moderate),Bosnia and Herzegovina,0.374,Georgia,0.431,Armenia,0.236
Greece,Transitioning (Low-Moderate),Singapore,0.568,Romania,0.588,Serbia,0.72
Georgia,Transitioning (Low-Moderate),Bosnia and Herzegovina,0.374,Singapore,0.568,Ireland,0.652
Bosnia and Herzegovina,Transitioning (Low-Moderate),Georgia,0.431,Armenia,0.236,North Macedonia,0.437
Barbados,Transitioning (Low-Moderate),Montenegro,0.321,Bhutan,0.128,Malta,1.13
Montenegro,Transitioning (Low-Moderate),Barbados,0.354,Bhutan,0.128,North Macedonia,0.437
Armenia,Transitioning (Low-Moderate),Bosnia and Herzegovina,0.374,Georgia,0.431,Panama,0.114
Japan,Emerging (Low Parks),Mexico,0.1,Brazil,0.114,United Kingdom,0.105
Chile,Transitioning (Low-Moderate),United Arab Emirates,0.119,Greece,0.431,Romania,0.588
Argentina,Emerging (Low Parks),Colombia,0.164,"Taiwan, Province of China",0.104,United Kingdom,0.105
Colombia,Emerging (Low Parks),Argentina,0.165,"Taiwan, Province of China",0.104,United Kingdom,0.105
Bhutan,Transitioning (Low-Moderate),Montenegro,0.321,"Moldova, Republic of",0.079,Barbados,0.354
United Arab Emirates,Transitioning (Low-Moderate),Chile,0.199,Panama,0.114,Greece,0.431
Kazakhstan,Emerging (Low Parks),Ecuador,0.062,Argentina,0.165,"Taiwan, Province of China",0.104
Brazil,Emerging (Low Parks),Mexico,0.1,Japan,0.232,Türkiye,0.068
Panama,Transitioning (Low-Moderate),Uruguay,0.059,"Moldova, Republic of",0.079,Armenia,0.236
United Kingdom,Emerging (Low Parks),"Taiwan, Province of China",0.104,"Korea, Republic of",0.083,Türkiye,0.068
"Taiwan, Province of China",Emerging (Low Parks),"Korea, Republic of",0.083,United Kingdom,0.105,Colombia,0.164
Mexico,Emerging (Low Parks),Brazil,0.114,Türkiye,0.068,United Kingdom,0.105
"Korea, Republic of",Emerging (Low Parks),"Taiwan, Province of China",0.104,United Kingdom,0.105,Türkiye,0.068
"Moldova, Republic of",Transitioning (Low-Moderate),Uruguay,0.059,Albania,0.041,Panama,0.114
Türkiye,Emerging (Low Parks),United Kingdom,0.105,Mexico,0.1,"Korea, Republic of",0.083
Ecuador,Emerging (Low Parks),Kazakhstan,0.115,"Bolivia, Plurinational State of",0.033,"Venezuela, Bolivarian Republic of",0.035
Uruguay,Transitioning (Low-Moderate),"Moldova, Republic of",0.079,Albania,0.041,Panama,0.114
Peru,Emerging (Low Parks),"Venezuela, Bolivarian Republic of",0.035,"Korea, Republic of",0.083,Ecuador,0.062
Kyrgyzstan,Emerging (Low Parks),"Bolivia, Plurinational State of",0.033,Oman,0.021,Cuba,0.018
Albania,Transitioning (Low-Moderate),Uruguay,0.059,"Moldova, Republic of",0.079,Panama,0.114
"Venezuela, Bolivarian Republic of",Emerging (Low Parks),Peru,0.045,Malaysia,0.017,Ecuador,0.062
"Bolivia, Plurinational State of",Emerging (Low Parks),Cuba,0.018,Dominican Republic,0.018,Tunisia,0.017
Oman,Emerging (Low Parks),Paraguay,0.015,Kyrgyzstan,0.043,Cuba,0.018
Cuba,Emerging (Low Parks),Dominican Republic,0.018,Tunisia,0.017,Azerbaijan,0.01
Dominican Republic,Emerging (Low Parks),Cuba,0.018,Tunisia,0.017,Azerbaijan,0.01
Malaysia,Emerging (Low Parks),Nepal,0.01,Saudi Arabia,0.009,"Venezuela, Bolivarian Republic of",0.035
Thailand,Emerging (Low Parks),"Iran, Islamic Republic of",0.008,Malaysia,0.017,Algeria,0.007
Tunisia,Emerging (Low Parks),Dominican Republic,0.018,Cuba,0.018,Azerbaijan,0.01
Paraguay,Emerging (Low Parks),Oman,0.021,Azerbaijan,0.01,Cuba,0.018
Nepal,Emerging (Low Parks),Saudi Arabia,0.009,Madagascar,0.007,Malaysia,0.017
Azerbaijan,Emerging (Low Parks),Honduras,0.01,Tunisia,0.017,Dominican Republic,0.018
Honduras,Emerging (Low Parks),Azerbaijan,0.01,Tunisia,0.017,Dominican Republic,0.018
Saudi Arabia,Emerging (Low Parks),Nepal,0.01,Madagascar,0.007,Algeria,0.007
"Iran, Islamic Republic of",Emerging (Low Parks),Kenya,0.006,Thailand,0.017,Algeria,0.007
Algeria,Emerging (Low Parks),Kenya,0.006,Morocco,0.005,Namibia,0.004
Madagascar,Emerging (Low Parks),Morocco,0.005,Saudi Arabia,0.009,Nepal,0.01
Kenya,Emerging (Low Parks),Algeria,0.007,Namibia,0.004,Morocco,0.005
Morocco,Emerging (Low Parks),Algeria,0.007,Madagascar,0.007,Namibia,0.004
China,Emerging (Low Parks),India,0.002,Indonesia,0.003,Bangladesh,0.001
Namibia,Emerging (Low Parks),Kenya,0.006,Morocco,0.005,Algeria,0.007
Indonesia,Emerging (Low Parks),Bangladesh,0.001,Egypt,0.002,Viet Nam,0.002
Uzbekistan,Emerging (Low Parks),Iraq,0.002,Jersey,0.002,Namibia,0.004
Iraq,Emerging (Low Parks),Jersey,0.002,Uzbekistan,0.003,Namibia,0.004
Viet Nam,Emerging (Low Parks),Egypt,0.002,Jersey,0.002,Bangladesh,0.001
Jersey,Emerging (Low Parks),Iraq,0.002,Uzbekistan,0.003,Namibia,0.004
Egypt,Emerging (Low Parks),Viet Nam,0.002,Bangladesh,0.001,Jersey,0.002
India,Emerging (Low Parks),China,0.005,Indonesia,0.003,Bangladesh,0.001
Bangladesh,Emerging (Low Parks),Egypt,0.002,Viet Nam,0.002,Indonesia,0.003
