name,latitude,longitude,country_code,country_name,osm_id,osm_type,data_source
Dog Park 1416567524,42.5000511,1.5114632,AD,Andorra,1416567524,way,OpenStreetMap
Dog Park 248002222,42.5102969,1.538778,AD,Andorra,248002222,way,OpenStreetMap
Dog Park 10679928342,25.188713,55.2649185,AE,United Arab Emirates,10679928342,node,OpenStreetMap
Dog Park 11505259673,25.0471265,55.2022296,AE,United Arab Emirates,11505259673,node,OpenStreetMap
Dog Park 11521157194,25.0577082,55.2024896,AE,United Arab Emirates,11521157194,node,OpenStreetMap
Dog Park 11566433693,25.0651713,55.20558,AE,United Arab Emirates,11566433693,node,OpenStreetMap
Dog Park 1243100061,25.0491723,55.21178,AE,United Arab Emirates,1243100061,way,OpenStreetMap
Dog Park 1320697337,24.5219035,54.436652,AE,United Arab Emirates,1320697337,way,OpenStreetMap
Dog Park 1417689054,25.0714598,55.126773,AE,United Arab Emirates,1417689054,way,OpenStreetMap
Dog Park 795896088,25.064885,55.1572831,AE,United Arab Emirates,795896088,way,OpenStreetMap
Dog Park 930168196,25.091102,55.1756271,AE,United Arab Emirates,930168196,way,OpenStreetMap
Dog Park 930169131,25.0701511,55.1455504,AE,United Arab Emirates,930169131,way,OpenStreetMap
Dog Park 932751987,25.0124349,55.2555368,AE,United Arab Emirates,932751987,way,OpenStreetMap
Eisbej Dog Park,25.0544282,55.2193926,AE,United Arab Emirates,11198371727,node,OpenStreetMap
Dog Park 843843844,41.3255451,19.8179872,AL,Albania,843843844,way,OpenStreetMap
Dog Park 1106215958,40.1936799,44.4791111,AM,Armenia,1106215958,way,OpenStreetMap
Dog Park 1108084436,40.1637554,44.4477952,AM,Armenia,1108084436,way,OpenStreetMap
Dog Park 118818144,40.178109,44.4479434,AM,Armenia,118818144,way,OpenStreetMap
Dog Park 1227579983,40.1646012,44.4781574,AM,Armenia,1227579983,way,OpenStreetMap
Dog Park 1344337339,40.1746726,44.5666982,AM,Armenia,1344337339,way,OpenStreetMap
Dog Park 1446624542,40.1530441,44.5256038,AM,Armenia,1446624542,way,OpenStreetMap
Dog Park 1454717764,40.1594126,44.5017216,AM,Armenia,1454717764,way,OpenStreetMap
Canil,-34.6268719,-58.3879031,AR,Argentina,448225746,way,OpenStreetMap
Canil,-34.6325806,-58.4561822,AR,Argentina,448427261,way,OpenStreetMap
Canil,-34.6474944,-58.5139834,AR,Argentina,451956963,way,OpenStreetMap
Canil,-34.6429336,-58.5121745,AR,Argentina,452358295,way,OpenStreetMap
Canil,-34.5445651,-58.464747,AR,Argentina,457732872,way,OpenStreetMap
Canil,-34.575071,-58.4169656,AR,Argentina,462897369,way,OpenStreetMap
Canil,-34.6346597,-58.4634286,AR,Argentina,907862638,way,OpenStreetMap
Canil,-34.6679597,-58.4815783,AR,Argentina,907871028,way,OpenStreetMap
Canil,-36.32182,-57.6927521,AR,Argentina,1361572072,way,OpenStreetMap
Canil,-34.4770371,-58.5262594,AR,Argentina,12334384030,node,OpenStreetMap
Canil Parque La Isla de la Paternal,-34.5930701,-58.4757134,AR,Argentina,1354437670,way,OpenStreetMap
Canil Plaza 25 de Agosto,-34.580479,-58.4630646,AR,Argentina,1380648282,way,OpenStreetMap
Canil del Paseo Costero,-34.5182842,-58.4719849,AR,Argentina,11688432238,node,OpenStreetMap
Club Argentino de Criadores del Perro Ovejero Alemán,-38.6925313,-62.2651606,AR,Argentina,1149734373,way,OpenStreetMap
Dog Park 1011728002,-33.0167891,-61.0406471,AR,Argentina,1011728002,way,OpenStreetMap
Dog Park 1029634366,-34.4694881,-58.5207954,AR,Argentina,1029634366,way,OpenStreetMap
Dog Park 1035902068,-34.5974986,-58.4068388,AR,Argentina,1035902068,way,OpenStreetMap
Dog Park 1062487281,-38.9449552,-68.0479275,AR,Argentina,1062487281,way,OpenStreetMap
Dog Park 10681326074,-31.3913769,-64.1849472,AR,Argentina,10681326074,node,OpenStreetMap
Dog Park 10700489581,-34.6183597,-58.5075763,AR,Argentina,10700489581,node,OpenStreetMap
Dog Park 10746398015,-34.6302065,-58.3667687,AR,Argentina,10746398015,node,OpenStreetMap
Dog Park 11737376769,-34.6008864,-58.3850659,AR,Argentina,11737376769,node,OpenStreetMap
Dog Park 12758716577,-31.4173474,-64.1909314,AR,Argentina,12758716577,node,OpenStreetMap
Dog Park 1289359376,-27.4507947,-58.9855934,AR,Argentina,1289359376,way,OpenStreetMap
Dog Park 1305756057,-34.5599328,-58.4473826,AR,Argentina,1305756057,way,OpenStreetMap
Dog Park 1306280640,-34.5972311,-58.3830361,AR,Argentina,1306280640,way,OpenStreetMap
Dog Park 13500829101,-34.5925835,-58.4358942,AR,Argentina,13500829101,node,OpenStreetMap
Dog Park 1354641833,-34.7139842,-58.4488492,AR,Argentina,1354641833,way,OpenStreetMap
Dog Park 13755438908,-34.5984897,-58.3922665,AR,Argentina,13755438908,node,OpenStreetMap
Dog Park 13775142203,-34.6184242,-58.4344251,AR,Argentina,13775142203,node,OpenStreetMap
Dog Park 1396292151,-34.628561,-58.3700958,AR,Argentina,1396292151,way,OpenStreetMap
Dog Park 1408843590,-34.6457605,-58.3971922,AR,Argentina,1408843590,way,OpenStreetMap
Dog Park 1419417758,-34.6293841,-58.3961999,AR,Argentina,1419417758,way,OpenStreetMap
Dog Park 1419417762,-34.6288088,-58.3961616,AR,Argentina,1419417762,way,OpenStreetMap
Dog Park 1443698130,-34.675451,-58.4521611,AR,Argentina,1443698130,way,OpenStreetMap
Dog Park 1444318237,-34.6354424,-58.4820605,AR,Argentina,1444318237,way,OpenStreetMap
Dog Park 1486904417,-34.6370496,-58.3950494,AR,Argentina,1486904417,way,OpenStreetMap
Dog Park 219788698,-34.5623402,-58.4585216,AR,Argentina,219788698,way,OpenStreetMap
Dog Park 267132668,-34.5917245,-58.4201545,AR,Argentina,267132668,way,OpenStreetMap
Dog Park 297168545,-34.5988936,-58.3912399,AR,Argentina,297168545,way,OpenStreetMap
Dog Park 439039601,-34.6075113,-58.4375352,AR,Argentina,439039601,way,OpenStreetMap
Dog Park 440882352,-34.6057957,-58.4196252,AR,Argentina,440882352,way,OpenStreetMap
Dog Park 441088365,-34.6109417,-58.3984287,AR,Argentina,441088365,way,OpenStreetMap
Dog Park 441102639,-34.6177123,-58.4036651,AR,Argentina,441102639,way,OpenStreetMap
Dog Park 442110686,-34.6513246,-58.3896941,AR,Argentina,442110686,way,OpenStreetMap
Dog Park 443690277,-34.5482228,-58.4426286,AR,Argentina,443690277,way,OpenStreetMap
Dog Park 445604645,-34.607775,-58.4335112,AR,Argentina,445604645,way,OpenStreetMap
Dog Park 445611992,-34.605591,-58.433774,AR,Argentina,445611992,way,OpenStreetMap
Dog Park 446025686,-34.6185024,-58.4318485,AR,Argentina,446025686,way,OpenStreetMap
Dog Park 446605507,-34.6144372,-58.45873,AR,Argentina,446605507,way,OpenStreetMap
Dog Park 446605508,-34.6146027,-58.4586785,AR,Argentina,446605508,way,OpenStreetMap
Dog Park 446716280,-34.6197248,-58.4441785,AR,Argentina,446716280,way,OpenStreetMap
Dog Park 447128445,-34.6192222,-58.441521,AR,Argentina,447128445,way,OpenStreetMap
