name,latitude,longitude,country_code,country_name,osm_id,osm_type,data_source
Dog Park 843843844,41.3255451,19.8179872,AL,Albania,843843844,way,OpenStreetMap
Dog Park 248002222,42.5102969,1.538778,AD,Andorra,248002222,way,OpenStreetMap
Dog Park 1416567524,42.5000511,1.5114632,AD,Andorra,1416567524,way,OpenStreetMap
Dog Park 10679928342,25.188713,55.2649185,AE,United Arab Emirates,10679928342,node,OpenStreetMap
Eisbej Dog Park,25.0544282,55.2193926,AE,United Arab Emirates,11198371727,node,OpenStreetMap
Dog Park 11505259673,25.0471265,55.2022296,AE,United Arab Emirates,11505259673,node,OpenStreetMap
Dog Park 11521157194,25.0577082,55.2024896,AE,United Arab Emirates,11521157194,node,OpenStreetMap
Dog Park 11566433693,25.0651713,55.20558,AE,United Arab Emirates,11566433693,node,OpenStreetMap
Dog Park 795896088,25.064885,55.1572831,AE,United Arab Emirates,795896088,way,OpenStreetMap
Dog Park 930168196,25.091102,55.1756271,AE,United Arab Emirates,930168196,way,OpenStreetMap
Dog Park 930169131,25.0701511,55.1455504,AE,United Arab Emirates,930169131,way,OpenStreetMap
Dog Park 932751987,25.0124349,55.2555368,AE,United Arab Emirates,932751987,way,OpenStreetMap
Dog Park 1243100061,25.0491723,55.21178,AE,United Arab Emirates,1243100061,way,OpenStreetMap
Dog Park 1320697337,24.5219035,54.436652,AE,United Arab Emirates,1320697337,way,OpenStreetMap
Dog Park 1417689054,25.0714598,55.126773,AE,United Arab Emirates,1417689054,way,OpenStreetMap
Dog Park 6521858259,-34.5554271,-58.4580117,AR,Argentina,6521858259,node,OpenStreetMap
caniles,-34.7702508,-58.4312458,AR,Argentina,7091265786,node,OpenStreetMap
Dog Park 7208761671,-34.6212591,-58.4733861,AR,Argentina,7208761671,node,OpenStreetMap
Patitas,-33.1585629,-60.5096822,AR,Argentina,8438877392,node,OpenStreetMap
Dog Park 8500653714,-34.6081031,-58.4107282,AR,Argentina,8500653714,node,OpenStreetMap
Dog Park 10681326074,-31.3913769,-64.1849472,AR,Argentina,10681326074,node,OpenStreetMap
Dog Park 10700489581,-34.6183597,-58.5075763,AR,Argentina,10700489581,node,OpenStreetMap
Dog Park 10746398015,-34.6302065,-58.3667687,AR,Argentina,10746398015,node,OpenStreetMap
Canil del Paseo Costero,-34.5182842,-58.4719849,AR,Argentina,11688432238,node,OpenStreetMap
Dog Park 11737376769,-34.6008864,-58.3850659,AR,Argentina,11737376769,node,OpenStreetMap
Canil,-34.4770371,-58.5262594,AR,Argentina,12334384030,node,OpenStreetMap
Dog Park 12758716577,-31.4173474,-64.1909314,AR,Argentina,12758716577,node,OpenStreetMap
Dog Park 13500829101,-34.5925835,-58.4358942,AR,Argentina,13500829101,node,OpenStreetMap
Dog Park 219788698,-34.5623402,-58.4585216,AR,Argentina,219788698,way,OpenStreetMap
Dog Park 267132668,-34.5917245,-58.4201545,AR,Argentina,267132668,way,OpenStreetMap
"Refugio ""El Campito""",-34.8904609,-58.4331895,AR,Argentina,295765566,way,OpenStreetMap
Dog Park 297168545,-34.5988936,-58.3912399,AR,Argentina,297168545,way,OpenStreetMap
Dog Park 439039601,-34.6075113,-58.4375352,AR,Argentina,439039601,way,OpenStreetMap
Dog Park 440882352,-34.6057957,-58.4196252,AR,Argentina,440882352,way,OpenStreetMap
Dog Park 441088365,-34.6109417,-58.3984287,AR,Argentina,441088365,way,OpenStreetMap
Dog Park 441102639,-34.6177123,-58.4036651,AR,Argentina,441102639,way,OpenStreetMap
Dog Park 442110686,-34.6513246,-58.3896941,AR,Argentina,442110686,way,OpenStreetMap
Dog Park 443690277,-34.5482228,-58.4426286,AR,Argentina,443690277,way,OpenStreetMap
Dog Park 445604645,-34.607775,-58.4335112,AR,Argentina,445604645,way,OpenStreetMap
Dog Park 445611992,-34.605591,-58.433774,AR,Argentina,445611992,way,OpenStreetMap
Dog Park 446025686,-34.6185024,-58.4318485,AR,Argentina,446025686,way,OpenStreetMap
Dog Park 446605507,-34.6144372,-58.45873,AR,Argentina,446605507,way,OpenStreetMap
Dog Park 446605508,-34.6146027,-58.4586785,AR,Argentina,446605508,way,OpenStreetMap
Dog Park 446716280,-34.6197248,-58.4441785,AR,Argentina,446716280,way,OpenStreetMap
Dog Park 447128445,-34.6192222,-58.441521,AR,Argentina,447128445,way,OpenStreetMap
Dog Park 447617854,-34.5696217,-58.4540049,AR,Argentina,447617854,way,OpenStreetMap
Dog Park 447729346,-34.5810449,-58.4449598,AR,Argentina,447729346,way,OpenStreetMap
Canil,-34.6268719,-58.3879031,AR,Argentina,448225746,way,OpenStreetMap
Canil,-34.6325806,-58.4561822,AR,Argentina,448427261,way,OpenStreetMap
Dog Park 448745455,-34.6436309,-58.4623432,AR,Argentina,448745455,way,OpenStreetMap
Dog Park 449133076,-34.6218444,-58.4559706,AR,Argentina,449133076,way,OpenStreetMap
Canil,-34.6474944,-58.5139834,AR,Argentina,451956963,way,OpenStreetMap
Canil,-34.6429336,-58.5121745,AR,Argentina,452358295,way,OpenStreetMap
Canil,-34.5445651,-58.464747,AR,Argentina,457732872,way,OpenStreetMap
Canil,-34.575071,-58.4169656,AR,Argentina,462897369,way,OpenStreetMap
Dog Park 489942190,-34.5947831,-58.4792005,AR,Argentina,489942190,way,OpenStreetMap
Dog Park 509342133,-34.0928473,-59.0189704,AR,Argentina,509342133,way,OpenStreetMap
Dog Park 676193462,-34.6347877,-58.445528,AR,Argentina,676193462,way,OpenStreetMap
Dog Park 679617129,-34.5878803,-58.3970882,AR,Argentina,679617129,way,OpenStreetMap
Dog Park 709696166,-34.5844556,-58.4095768,AR,Argentina,709696166,way,OpenStreetMap
Dog Park 710357083,-34.5715613,-58.4892292,AR,Argentina,710357083,way,OpenStreetMap
Dog Park 710505652,-34.6264453,-58.4083267,AR,Argentina,710505652,way,OpenStreetMap
Dog Park 776316670,-34.5764509,-58.4419193,AR,Argentina,776316670,way,OpenStreetMap
Dog Park 810130516,-34.5609068,-58.5045334,AR,Argentina,810130516,way,OpenStreetMap
Siberianos del Fuego,-54.7187064,-68.027273,AR,Argentina,868483264,way,OpenStreetMap
Dog Park 889344128,-34.5152852,-58.5052533,AR,Argentina,889344128,way,OpenStreetMap
Dog Park 906341572,-34.5909698,-58.5006973,AR,Argentina,906341572,way,OpenStreetMap
Canil,-34.6346597,-58.4634286,AR,Argentina,907862638,way,OpenStreetMap
Canil,-34.6679597,-58.4815783,AR,Argentina,907871028,way,OpenStreetMap
Dog Park 915893043,-24.377003,-65.1186609,AR,Argentina,915893043,way,OpenStreetMap
Dog Park 924850141,-34.4582225,-58.5549981,AR,Argentina,924850141,way,OpenStreetMap
Dog Park 1011728002,-33.0167891,-61.0406471,AR,Argentina,1011728002,way,OpenStreetMap
Dog Park 1029634366,-34.4694881,-58.5207954,AR,Argentina,1029634366,way,OpenStreetMap
Dog Park 1035902068,-34.5974986,-58.4068388,AR,Argentina,1035902068,way,OpenStreetMap
Dog Park 1062487281,-38.9449552,-68.0479275,AR,Argentina,1062487281,way,OpenStreetMap
Club Argentino de Criadores del Perro Ovejero Alemán,-38.6925313,-62.2651606,AR,Argentina,1149734373,way,OpenStreetMap
Dog Park 1289359376,-27.4507947,-58.9855934,AR,Argentina,1289359376,way,OpenStreetMap
Dog Park 1305756057,-34.5599328,-58.4473826,AR,Argentina,1305756057,way,OpenStreetMap
Dog Park 1306280640,-34.5972311,-58.3830361,AR,Argentina,1306280640,way,OpenStreetMap
Canil Parque La Isla de la Paternal,-34.5930701,-58.4757134,AR,Argentina,1354437670,way,OpenStreetMap
Dog Park 1354641833,-34.7139842,-58.4488492,AR,Argentina,1354641833,way,OpenStreetMap
Canil,-36.32182,-57.6927521,AR,Argentina,1361572072,way,OpenStreetMap
Canil Plaza 25 de Agosto,-34.580479,-58.4630646,AR,Argentina,1380648282,way,OpenStreetMap
Dog Park 1396292151,-34.628561,-58.3700958,AR,Argentina,1396292151,way,OpenStreetMap
Dog Park 1408843590,-34.6457605,-58.3971922,AR,Argentina,1408843590,way,OpenStreetMap
Dog Park 1419417758,-34.6293841,-58.3961999,AR,Argentina,1419417758,way,OpenStreetMap
Dog Park 1419417762,-34.6288088,-58.3961616,AR,Argentina,1419417762,way,OpenStreetMap
Dog Park 1443698130,-34.675451,-58.4521611,AR,Argentina,1443698130,way,OpenStreetMap
Dog Park 1444318237,-34.6354424,-58.4820605,AR,Argentina,1444318237,way,OpenStreetMap
Dog Park 1486904417,-34.6370496,-58.3950494,AR,Argentina,1486904417,way,OpenStreetMap
Dog Park 118818144,40.178109,44.4479434,AM,Armenia,118818144,way,OpenStreetMap
Dog Park 1106215958,40.1936799,44.4791111,AM,Armenia,1106215958,way,OpenStreetMap
Dog Park 1108084436,40.1637554,44.4477952,AM,Armenia,1108084436,way,OpenStreetMap
Dog Park 1227579983,40.1646012,44.4781574,AM,Armenia,1227579983,way,OpenStreetMap
Dog Park 1344337339,40.1746726,44.5666982,AM,Armenia,1344337339,way,OpenStreetMap
Dog Park 1446624542,40.1530441,44.5256038,AM,Armenia,1446624542,way,OpenStreetMap
Dog Park 1454717764,40.1594126,44.5017216,AM,Armenia,1454717764,way,OpenStreetMap
Neal Macrossan Park Dog Off Leash Area,-27.462329,153.0098373,AU,Australia,278704774,node,OpenStreetMap
Dog Park 704371926,-27.5253293,153.2852894,AU,Australia,704371926,node,OpenStreetMap
Dog Park 3150017774,-41.4357185,147.1690536,AU,Australia,3150017774,node,OpenStreetMap
Dog Park 3339834640,-27.1071367,152.9185005,AU,Australia,3339834640,node,OpenStreetMap
Rocky Creek Dam Dog Friendly Area,-28.6370777,153.3454491,AU,Australia,4639452575,node,OpenStreetMap
Dog Off Leash Area,-28.3380421,153.5753911,AU,Australia,4694425667,node,OpenStreetMap
Dog Beach Off Lead,-28.5091118,153.5516679,AU,Australia,4700083367,node,OpenStreetMap
Dog Beach Off Lead,-28.4942556,153.5516508,AU,Australia,4700084110,node,OpenStreetMap
Dog Beach Off Lead,-28.5423292,153.556985,AU,Australia,4700187218,node,OpenStreetMap
Dog Park 4721895398,-31.861629,115.7593617,AU,Australia,4721895398,node,OpenStreetMap
Dog Park 5040182378,-16.9043921,145.7044427,AU,Australia,5040182378,node,OpenStreetMap
Dog Park 5411986929,-41.4622623,147.1914924,AU,Australia,5411986929,node,OpenStreetMap
Close Street Reserve Dog Off Leash Area,-33.9140278,151.1192342,AU,Australia,5416311719,node,OpenStreetMap
Dog Park 5474541651,-42.9498597,147.3498696,AU,Australia,5474541651,node,OpenStreetMap
Dog Park 5524662914,-33.3256521,115.6427962,AU,Australia,5524662914,node,OpenStreetMap
Dog Park 5825984538,-37.8447185,145.3141539,AU,Australia,5825984538,node,OpenStreetMap
Dog Park 6202437632,-33.816814,151.2158257,AU,Australia,6202437632,node,OpenStreetMap
Villawood Drive Reserve leash-free dog park,-38.3034976,145.1797551,AU,Australia,6437496356,node,OpenStreetMap
Dog Park 6571792231,-33.0244947,137.5365455,AU,Australia,6571792231,node,OpenStreetMap
Harmony Fields Dog Park,-32.0528267,116.0108264,AU,Australia,6943616887,node,OpenStreetMap
Harmony Fields Dog Park,-32.0531712,116.0106325,AU,Australia,6943616888,node,OpenStreetMap
Dog Park 6943616897,-32.0681384,115.9495912,AU,Australia,6943616897,node,OpenStreetMap
Richards Reserve Dog Park,-37.7288278,144.9551439,AU,Australia,7428480260,node,OpenStreetMap
Dog Park 7861634550,-31.7465968,115.7630692,AU,Australia,7861634550,node,OpenStreetMap
Dog Park 8421858217,-31.889799,115.8747613,AU,Australia,8421858217,node,OpenStreetMap
Kalkallo Dog Park,-37.5403292,144.9541159,AU,Australia,8524740829,node,OpenStreetMap
Dog off-leash area,-37.8529021,145.3741476,AU,Australia,8542836500,node,OpenStreetMap
Forestville War Memorial Playing Fields (Melwood Oval),-33.7624184,151.2098095,AU,Australia,8829376853,node,OpenStreetMap
Dog Park 8829483762,-33.9239359,151.1126239,AU,Australia,8829483762,node,OpenStreetMap
Collingwood Park Dog Park,-27.6144891,152.8688592,AU,Australia,8835543080,node,OpenStreetMap
Holloways Beach Dog Exercise Area,-16.8304405,145.7360727,AU,Australia,8858048267,node,OpenStreetMap
Dog Park 9024786822,-27.006412,153.064303,AU,Australia,9024786822,node,OpenStreetMap
Dog Park 9069483421,-31.9517732,115.8072231,AU,Australia,9069483421,node,OpenStreetMap
Dog Agility Park,-33.3552548,116.1601712,AU,Australia,9097357339,node,OpenStreetMap
Dog Park 9169363928,-37.8023729,145.0878208,AU,Australia,9169363928,node,OpenStreetMap
Dog Park 9211702988,-32.763925,151.7500632,AU,Australia,9211702988,node,OpenStreetMap
Dog Park 9231708659,-43.1251841,147.2481155,AU,Australia,9231708659,node,OpenStreetMap
Ballinger Beach,-26.7779696,153.1381925,AU,Australia,9525951569,node,OpenStreetMap
Four Paws Park,-34.8893802,138.6735984,AU,Australia,9580084267,node,OpenStreetMap
Dog Park 9980870553,-42.8752261,147.3306264,AU,Australia,9980870553,node,OpenStreetMap
Dog Park 10553906527,-34.2308415,150.6971994,AU,Australia,10553906527,node,OpenStreetMap
Canine West,-32.1000674,115.9332775,AU,Australia,10707054832,node,OpenStreetMap
Tailem Dog Park,-35.2517462,139.4527024,AU,Australia,10870026119,node,OpenStreetMap
Hillarys Dog Beach,-31.8092123,115.730016,AU,Australia,10901515599,node,OpenStreetMap
Dog Park 11033633605,-33.8983462,151.0860102,AU,Australia,11033633605,node,OpenStreetMap
Dog Park 11263764397,-31.8061869,115.7285603,AU,Australia,11263764397,node,OpenStreetMap
Curl Curl off-leash dog area,-33.7664285,151.2964624,AU,Australia,12088572067,node,OpenStreetMap
Dog Park 12422836516,-28.3369397,153.3795959,AU,Australia,12422836516,node,OpenStreetMap
Reedy Creek Dog Park,-28.1139992,153.3880842,AU,Australia,12709079001,node,OpenStreetMap
Mercurio Street Park,-16.9890361,145.7464895,AU,Australia,12718263221,node,OpenStreetMap
Dog Park 12895755065,-26.2123317,152.0852743,AU,Australia,12895755065,node,OpenStreetMap
Dog Park 12999069551,-33.6839671,150.9518734,AU,Australia,12999069551,node,OpenStreetMap
Bordertown Dog Park,-36.3082698,140.7765368,AU,Australia,13050436214,node,OpenStreetMap
Frances O'Brien Dog Park,-33.7306469,151.1029453,AU,Australia,13109455386,node,OpenStreetMap
Dog Park 13269942068,-28.8658376,153.588191,AU,Australia,13269942068,node,OpenStreetMap
Puggle Play Space,-31.9852865,115.9148518,AU,Australia,13305541239,node,OpenStreetMap
Dog Park 13323300269,-33.7853149,151.2871449,AU,Australia,13323300269,node,OpenStreetMap
Woodcroft Dog Park,-35.11262,138.5535864,AU,Australia,13325060702,node,OpenStreetMap
Railway Dog Park,-32.0034362,115.9340891,AU,Australia,13325622802,node,OpenStreetMap
Dog Park 13629341901,-33.8014499,150.887801,AU,Australia,13629341901,node,OpenStreetMap
Rofe Dog Park,-33.679092,151.0989549,AU,Australia,5026724,way,OpenStreetMap
Dog Park 8700638,-27.4435745,153.0063544,AU,Australia,8700638,way,OpenStreetMap
South Street Reserve,-42.8763146,147.3813781,AU,Australia,9289925,way,OpenStreetMap
Dog Park 13595563,-27.4436843,153.0260736,AU,Australia,13595563,way,OpenStreetMap
Dan Mahoney Reserve,-33.8027702,151.0162497,AU,Australia,14457582,way,OpenStreetMap
Dog Park 16102215,-27.4149384,153.0092375,AU,Australia,16102215,way,OpenStreetMap
Dog Park 19782185,-27.4903091,153.0427725,AU,Australia,19782185,way,OpenStreetMap
Sunset Park Dog Park,-27.4516447,152.9741896,AU,Australia,19792609,way,OpenStreetMap
Wembley Park Dog off-leash area,-27.489369,153.063463,AU,Australia,20694709,way,OpenStreetMap
Dog Park 21302751,-27.5195657,153.0414637,AU,Australia,21302751,way,OpenStreetMap
Dog Park 23488261,-27.4494388,152.9968352,AU,Australia,23488261,way,OpenStreetMap
Dog Park 24160047,-27.4930119,153.1170952,AU,Australia,24160047,way,OpenStreetMap
Graceville Dog Park,-27.5188632,152.9862671,AU,Australia,24340280,way,OpenStreetMap
Dog Park 24763204,-27.4803632,153.0490752,AU,Australia,24763204,way,OpenStreetMap
Dog Park 25584956,-27.3775438,153.0029591,AU,Australia,25584956,way,OpenStreetMap
Martin Reserve (Dog Offleash Area),-37.7940144,144.8767899,AU,Australia,26407711,way,OpenStreetMap
Dog Park 27150574,-27.4542423,153.0259448,AU,Australia,27150574,way,OpenStreetMap
Dog Park 27418922,-33.8914074,151.1447875,AU,Australia,27418922,way,OpenStreetMap
Dog Park 28010665,-27.4140826,153.0039491,AU,Australia,28010665,way,OpenStreetMap
Powerhouse Dog Park,-27.4673572,153.0538432,AU,Australia,28165529,way,OpenStreetMap
Dog Park 28339434,-27.4517433,152.9525964,AU,Australia,28339434,way,OpenStreetMap
Dog Park 28578563,-27.5392181,152.9652194,AU,Australia,28578563,way,OpenStreetMap
Keryn Place Dog Park,-27.4207557,152.9456665,AU,Australia,28594868,way,OpenStreetMap
Dog Park 28666829,-27.4538801,153.0546312,AU,Australia,28666829,way,OpenStreetMap
